year,month,day,day_of_week,text,timestamp,sentiment
2023,6,1,3, 555 unique drawn mutant primapes soon on network banana drop your btc address orange square rt tg 3 fr and follow ,2023-06-01T00:00:00Z,NEUTRAL
2023,6,1,3,bitcoin mining your path to digital fortune join the gold rush click backhand index pointing right medium dark skin tone ,2023-06-01T00:00:00Z,NEUTRAL
2023,6,1,3, 2 takip imize toplamda 1000 tl hediye ediyorum four leaf clover bu twiti be eni rt yapman z ve telegram grubuna kat lman z yeterlidir ,2023-06-01T00:00:00Z,n/a
2023,6,1,3,tether planeja minerar bitcoin no uruguaifique por dentro das not cias siga atualiza es di rias link da not cia ,2023-06-01T00:00:00Z,NEUTRAL
2023,6,1,3, face screaming in fear hyped wl giveaway high voltage we are happy to collab with to wrapped gift 5x wl slots of their upcoming xbtg mi ,2023-06-01T00:00:00Z,POSITIVE
2023,6,1,3, 1000 sats everyday do you want 1000 sats rocket rocket rocket follow retweet and comment your high voltage a ,2023-06-01T00:00:00Z,NEUTRAL
2023,6,1,3, fx sparkles rt envelope bell bar chart ,2023-06-01T00:00:00Z,NEUTRAL
2023,6,1,3, happy monday tomato in last week s forecast the overwhelming majority of you correctly predicted that the price of ,2023-06-01T00:00:00Z,MIXED
2023,6,1,3, frog introducing frog framed picture 5 555 comfy club frens by neutron and beanpapa globe with meridians ,2023-06-01T00:00:00Z,NEUTRAL
2023,6,1,3,hi i m an ai bot i will show my resultfor info dm mestart balance 330000 satoshi 29 04 2023update balance 347985 satoshiposition 20 0 xrp ,2023-06-01T00:00:00Z,NEUTRAL
2023,6,1,3, is named ,2023-06-01T01:00:00Z,NEUTRAL
2023,6,1,3, loudspeaker pixel piggy pig face will mint on inscribenow date june 1st 3 00 pm utcprice free feeslike rt amp follow ,2023-06-01T01:00:00Z,NEUTRAL
2023,6,1,3, with all those ordinal rooms running the one running with some real value right now is and the nachomigos m ,2023-06-01T01:00:00Z,POSITIVE
2023,6,1,3,token conversions brc 721e token standard converts nfts to nfts ,2023-06-01T01:00:00Z,NEUTRAL
2023,6,1,3, frog introducing frog framed picture 5 555 comfy club frens by neutron and beanpapa globe with meridians ,2023-06-01T01:00:00Z,NEUTRAL
2023,6,1,3, fx sparkles rt envelope bell bar chart ,2023-06-01T01:00:00Z,NEUTRAL
2023,6,1,3, fx sparkles rt envelope bell bar chart ,2023-06-01T01:00:00Z,NEUTRAL
2023,6,1,3, fire huge giveaway fire to enter keycap 1 follow amp keycap 2 like rt keycap 3 tag 3 friends wrapped gift 25 wl spots alarm clock ,2023-06-01T01:00:00Z,NEUTRAL
2023,6,1,3, all targets hit 150 pips profit bullseye join our free telegram channel link in the bio ,2023-06-01T01:00:00Z,NEUTRAL
2023,6,1,3, frog introducing frog framed picture 5 555 comfy club frens by neutron and beanpapa globe with meridians ,2023-06-01T01:00:00Z,NEUTRAL
2023,6,1,3,blackrock ceo issues dire warning over debt ceiling drama bullish for bitcoin backhand index pointing right follow me to get the latest crypto news t co ufkfzsgydu,2023-06-01T02:00:00Z,NEUTRAL
2023,6,1,3, ,2023-06-01T02:00:00Z,NEUTRAL
2023,6,1,3, frog introducing frog framed picture 5 555 comfy club frens by neutron and beanpapa globe with meridians ,2023-06-01T02:00:00Z,NEUTRAL
2023,6,1,3, we re proud to announce that will be running a validator for satoshichain read more about it here ,2023-06-01T02:00:00Z,POSITIVE
2023,6,1,3, 2 takip imize toplamda 1000 tl hediye ediyorum four leaf clover bu twiti be eni rt yapman z ve telegram grubuna kat lman z yeterlidir ,2023-06-01T02:00:00Z,n/a
2023,6,1,3, my entry pepe frog high voltage ,2023-06-01T02:00:00Z,NEUTRAL
2023,6,1,3, is named ,2023-06-01T02:00:00Z,NEUTRAL
2023,6,1,3, 2 takip imize toplamda 1000 tl hediye ediyorum four leaf clover bu twiti be eni rt yapman z ve telegram grubuna kat lman z yeterlidir ,2023-06-01T02:00:00Z,n/a
2023,6,1,3, meow cats since today you can request collaboration via your community in co ,2023-06-01T02:00:00Z,NEUTRAL
2023,6,1,3, red triangle pointed down axe face with hand over mouth ,2023-06-01T02:00:00Z,NEUTRAL
2023,6,1,3, piyasa geri gelmesine ra men de mtl de ok sa lam durdular i lk yukar tepkide zellikle chr sa lam mum atabilir fire ,2023-06-01T03:00:00Z,n/a
2023,6,1,3,copped the dip ,2023-06-01T03:00:00Z,NEUTRAL
2023,6,1,3, unutma para de il paras zl k bozar adam o y zden mal can n yongas d r diyip ok al maya devam edece iz sistemimi ,2023-06-01T03:00:00Z,n/a
2023,6,1,3,join us and earn every day check out our channel af63,2023-06-01T03:00:00Z,NEUTRAL
2023,6,1,3, i in d n yine bahsettim ve yine nokta tespit 26605 den tepki ald u tats z piyasada k k k k de olsa i lem a p kar almak nemli de erlendirenlere bereketli olsun flexed biceps nokta hedefler benden de erlendirmesi sizden takipte kal n ,2023-06-01T03:00:00Z,n/a
2023,6,1,3,sizde paran z katlayaca n z dev pumplar m za kat l n kanal inceleyin rkiye 959f,2023-06-01T03:00:00Z,n/a
2023,6,1,3, wrapped gift wrapped gift prizes trophy 100 in btc to enter keycap 1 follow keycap 2 rt red heart keycap 3 tag a friend hourglass done 24 hours ,2023-06-01T03:00:00Z,NEUTRAL
2023,6,1,3, btc 1w bullmarket since 2019i impulse accumulationii correction shake outiii impulse momentumiv corre ,2023-06-01T03:00:00Z,NEUTRAL
2023,6,1,3, ape 3 11 eth 1 855 btc 26 800i am loading the boat and pinning this ,2023-06-01T03:00:00Z,NEUTRAL
2023,6,1,3, btc 4h what do these 3 patterns have in common bearish rising wedge red bearflag green busted double botto ,2023-06-01T03:00:00Z,NEUTRAL
2023,6,1,3, fair launching soon habibis rocket join our telegram group stay tuned ,2023-06-01T04:00:00Z,NEUTRAL
2023,6,1,3, wrapped gift wrapped gift prizes trophy 50 in btc to enter keycap 1 follow keycap 2 rt red heart keycap 3 tag a friend hourglass done 24 hours ,2023-06-01T04:00:00Z,NEUTRAL
2023,6,1,3,bitcoin btc price drops another 3 in major decoupling from ai tech stocks coingape headlines news backhand index pointing right follow me to get the latest crypto news t co bfar4f9skz,2023-06-01T04:00:00Z,NEUTRAL
2023,6,1,3, has entered the final phase before the next halving this phase is up only phase which was test 3 times in ,2023-06-01T04:00:00Z,NEUTRAL
2023,6,1,3,if the price of gives you an opportunity at 26323 increase your position long take profit 29k 29 5kstop loss 2 25780 ,2023-06-01T04:00:00Z,NEUTRAL
2023,6,1,3, framed picture daily blue life in feeling blue planet 1 1 handmade illustration by lemonnerd illustrator based in bkk thailand ,2023-06-01T04:00:00Z,NEUTRAL
2023,6,1,3, satoshi nak ai moto bitcoins creator has become an ai chatbot satoshi nakamoto may have effectively disappeared over 12 years ago ,2023-06-01T04:00:00Z,NEUTRAL
2023,6,1,3, follow the switch leadership on linkedin using the link below ,2023-06-01T04:00:00Z,NEUTRAL
2023,6,1,3, wrapped gift wrapped gift prizes trophy 50 in btc to enter keycap 1 follow keycap 2 rt red heart keycap 3 tag a friend hourglass done 24 hours ,2023-06-01T04:00:00Z,NEUTRAL
2023,6,1,3, our ceo kathy roberts will be speaking at on may 31st please visit their website ,2023-06-01T04:00:00Z,NEUTRAL
