tweet_id,manual score,machine score,sentiment_score,text,date,language,favorite_count,month
1.24E+18,0,1,0.116071429,Wuhan has been in complete quarantine for over 8 weeks.   People here are still going about their daily lives as normal.   This is pure fantasy. https://t.co/AUZbGNRDjM,Thu Mar 19 19:52:15 +0000 2020,en,13,Mar 
1.24E+18,-1,-1,-0.05,"RT @RedTRaccoon: You can no longer defend this.  Make up any excuse or reasoning you want, it's intentional and it's racist.",Thu Mar 19 19:52:15 +0000 2020,en,0,Mar 
1.24E+18,-1,-1,-0.714285714,RT @nicolebyer: Everyone in this looks sick,Thu Mar 19 19:52:15 +0000 2020,en,0,Mar 
1.24E+18,0,1,0.7,RT @RealSaavedra: Good.  It came from China.,Thu Mar 19 19:52:15 +0000 2020,en,0,Mar 
1.24E+18,0,0,0,RT @Biancaixvi: Corona day 3: it just feels like Sunday again and...again,Thu Mar 19 19:52:15 +0000 2020,en,0,Mar 
1.24E+18,0,0,0,"RT @jabinbotsford: Close up of President @realDonaldTrump notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…",Thu Mar 19 19:52:15 +0000 2020,en,0,Mar 
1.24E+18,0,1,0.216666667,Pretty much any corona virus germ that wants to or has entered my body these passed hours are all being bodied by these shots of henny https://t.co/HLsSEnRksu,Thu Mar 19 19:52:15 +0000 2020,en,10,Mar 
1.24E+18,-1,-1,-0.2,RT @FernandoAmandi: China’s irresponsible and criminal behavior in the wake of COVID-19 will leave it in its weakest global position in mem…,Thu Mar 19 19:52:15 +0000 2020,en,0,Mar 
1.24E+18,0,0,0,RT @SAIBdelvi: I appreciate both Pak Jokowi and Pak Prabowo for their moves to fight Corona. Never been a die-hard fan nor hater of both. J…,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,0,0,RT @MarleeMatlin: Pls RT. Dear @WhiteHouse news &amp; press conferences around the country during this Corona Virus Emergency have sign langua…,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,-1,-0.5,RT @RealbosstalkDt: Lets start a resource thread for loans and grants for small businesses affected by corona. We'll start: (PLEASE SHARE)…,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,-1,-1,-0.352857143,"RT @ioproducer: There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (includ…",Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,0,0,RT @Biancaixvi: Corona day 3: it just feels like Sunday again and...again,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,-1,-1,-0.78,RT @olcayerdd: #PTTEmekcileriRiskAltinda the corona is very dangerous so don't come to the post office,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,-1,0,0,"RT @Damii_aros: Mayorkun is somewhere in the studio singing ""Ramona, this your body dey killing person like Corona""",Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,1,0.3,"@citizentvkenya But are these measures enough? I don't think so. 120 bed capacity,not good. How about the whole facility be set aside for corona virus?",Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,0,0,"RT @bowcoupmerci: @DanRather Yes! And where the hell are these? Jack Ma donated 500,000 testing kits and 1 million masks. #WhereAreTheMask…",Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,-1,-1,-0.0625,"RT @jbarro: Among other things, what this shows is they're using the term ""the coronavirus"" internally like everyone else and are throwing…",Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,1,0.6,RT @MiekeEoyang: They're trying to spur a culture war to distract from their own incompetence.   So you don't notice them:  firing professi…,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,-1,0,0,RT @TattooedFemdom: My dick is Bigger than Corona virus My dick is Bigger than Corona virus My dick is Bigger than Corona virus My dick is…,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,0,0,RT @isoquince: Me at my funeral when I hear Messi dropped a 6.2 rating on SofaScore https://t.co/1g7HDdmiRL https://t.co/yGFo6iWTIY,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,-1,-1,-0.714285714,RT @nicolebyer: Everyone in this looks sick,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,-1,0,0,RT @Stout97_: 2 weeks? it’s a fucking global pandemic not a hamstring strain.,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,0,0,RT @MrJonCryer: There you have it.  Proof that this is an intentional tactic. Trump et al are trying to bait us into fighting over his raci…,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,0,0,"RT @CarolineCBaxter: *Non-Corona content*: The Patriot missile, its overuse, and the Middle East. Give yourself a break from pandemic cove…",Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,1,0.5,RT @CandiceBenbow: This is Generation Z.   I want to name that because folks love calling everybody 40 and under Millennials.  Millennials…,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,-1,-1,-0.5,RT @goodbeanaltalt: holy shit I hate every person in this video,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,1,0.5,"RT @Vijayabaskarofl: #Corona: I cldn’t wind up the day, without visiting #RGGH to check d health progress of Covid19 Pts . Am glad to see t…",Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,0,0,"RT @everywhereist: If he wasn't so vain as to eschew wearing the glasses he OBVIOUSLY needs, the font wouldn't be so big, and we wouldn't h…",Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,1,0.025,RT @charlesornstein: Holy shit. This is not fake news.,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
1.24E+18,0,0,0,RT @LiILevi: The only man who can save us from corona virus https://t.co/Qoc1QhVYm5,Thu Mar 19 19:52:16 +0000 2020,en,0,Mar 
